0x0	0xc
0x1a	0x2b
0x14cc	0x14dd
0x154b	0x1559
0x10	0x1a
0xf9	0x105
0x97	0xa3
0x71	0x7d
0xd3	0xdf
0x166	0x172
0x140	0x14c
0x1a2	0x1ae
0x211	0x225
0x1f6	0x1ff
0xbf3	0xc47
0xc4	0xcf
0x70d	0x721
0x6f2	0x6fb
0x11b2	0x11e8
0x1737	0x1744
0x1122	0x1133
0x17f7	0x180c
0x1238	0x126e
0x13b1	0x13b8
0x1408	0x140d
0x147a	0x14cc
0x14f0	0x1506
0x1507	0x151c
0x1542	0x154b
0x1aae	0x1ab90x1aae
0x1b7e	0x1bb4
0x18ea	0x1920
0x1d8f	0x1dc5
0x17a9	0x17bd
0x178e	0x1797
0x1e15	0x1e4b
0x24c	0x25e
0x2ce	0x2e0
0x328	0x33a
0x3eb	0x3fd
0x459	0x46b
0x487	0x499
0x5af	0x5c1
0x625	0x637
0x748	0x75a
0x7ac	0x7be
0x8b4	0x8c6
0x36	0x41
0xdf	0xea
0x2b	0x36
0x41	0x4c
0x4c	0x57
0x57	0x62
0x62	0x6d
0x7d	0x88
0x88	0x93
0xa3	0xae
0xae	0xb9
0xb9	0xc4
0xea	0xf5
0x105	0x110
0x110	0x11b
0x11b	0x126
0x126	0x131
0x131	0x13c
0x14c	0x157
0x157	0x162
0x172	0x17d
0x17d	0x188
0x188	0x193
0x193	0x19e
0x1ae	0x1b9
0x1b9	0x1c4
0x21010x13a9	0x210c0x13a9
0x21010x1b34	0x210c0x1b34
0x20c60x13a9	0x20da0x13a9
0x20c60x1b34	0x20da0x1b34
0x20ab0x13a9	0x20b40x13a9
0x20ab0x1b34	0x20b40x1b34
0x20550x13a9	0x20610x13a9
0x20550x1b34	0x20610x1b34
0x1ad20x13a9	0x1ad90x13a9
0x1ad20x1aae	0x1ad90x1aae
0x1ac10x13a9	0x1ad10x13a9
0x1ac10x1aae	0x1ad10x1aae
0x1aae0x13a9	0x1ab90x13a9
0x960B0x1c9	0x9b2B0x1c9
0x9dbB0x1c9	0x9efB0x1c9
0x9b2B0x1c9	0x9baB0x1c9
0xe9fB0x6c5	0xef1B0x6c5
0xf1aB0x6c5	0xf2eB0x6c5
0xef1B0x6c5	0xef9B0x6c5
