0x0	__function_selector__
0x242	supportsInterface(bytes4)
0x26b	name()
0x280	getApproved(uint256)
0x2a0	idToGreen(uint256)
0x2c0	approve(address,uint256)
0x2d5	totalSupply()
0x2dd	transmutePlotToERC20(address,uint256,uint256)
0x2f0	transferFrom(address,address,uint256)
0x303	tokenOfOwnerByIndex(address,uint256)
0x316	transmutationCount(uint256)
0x329	idToOwnerIndex(uint256)
0x33c	safeTransferFrom(address,address,uint256)
0x34f	chromaticPlotAddress()
0x357	getOwnedTokenIds(address)
0x377	ownerOf(uint256)
0x38a	idToRed(uint256)
0x39d	setAdmin(address)
0x3b0	balanceOf(address)
0x3c3	setChromaticPlotAddress(address)
0x3d6	idToBlue(uint256)
0x3e9	RGBToId(uint256,uint256,uint256)
0x3fc	numTokens()
0x404	fungibleChromaAddress()
0x40c	toHexString(uint256)
0x41f	symbol()
0x427	setApprovalForAll(address,bool)
0x43a	transmuteSingleToNFT(uint256)
0x44d	setFungibleChromaAddress(address)
0x460	safeTransferFrom(address,address,uint256,bytes)
0x473	transmuteSingleToERC20(uint256)
0x486	toHex(uint256)
0x499	idToOwner(uint256)
0x4ac	transmuteMultipleToNFT(uint256[])
0x4bf	transmutePlotToNFTs(address,uint256,uint256)
0x4d2	toRGBString(uint256)
0x4e5	transmuteMultipleToERC20(uint256[])
0x4f8	isApprovedForAll(address,address)
0x50b	adminAddress()
0x513	ownerToIds(address,uint256)
0x526	0x526
0x549	0x549
0x63b	0x63b
0x76f	0x76f
0x819	0x819
0x9ca	0x9ca
0x9f9	0x9f9
0xaf7	0xaf7
0xb54	0xb54
0xbc9	0xbc9
0xbcf	0xbcf
0xbf9	0xbf9
0xc7a	0xc7a
0xe6a	0xe6a
0xffd	0xffd
0x10fe	0x10fe
0x1182	0x1182
0x12c5	0x12c5
0x13f2	0x13f2
0x146d	0x146d
0x165e	0x165e
0x1672	0x1672
0x16b6	0x16b6
0x17ba	0x17ba
0x17d4	0x17d4
0x195b	0x195b
0x1a00	0x1a00
0x1a15	0x1a15
0x1a31	0x1a31
0x1a69	0x1a69
0x1b43	0x1b43
0x1b74	0x1b74
0x1b9f	0x1b9f
0x1bd3	0x1bd3
0x1c42	0x1c42
0x1c5e	0x1c5e
0x1c7a	0x1c7a
0x1cbd	0x1cbd
0x1da4	0x1da4
0x1db8	0x1db8
0x1df5	0x1df5
0x1e0e	0x1e0e
0x1e52	0x1e52
0x1e5d	0x1e5d
0x1e70	0x1e70
0x1ea7	0x1ea7
0x1ecf	0x1ecf
0x1f54	0x1f54
0x1fb5	0x1fb5
0x200b	0x200b
0x20b1	0x20b1
0x20dd	0x20dd
0x2109	0x2109
0x211e	0x211e
0x42d4	()
0x42d4	fallback()
